Location,TSUM_0,TSUM_1,TSUM_2,TSUM_3,TSUM_4,TSUM_5,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd,OrganGrowthRespiration_0,OrganGrowthRespiration_1,OrganGrowthRespiration_2,OrganGrowthRespiration_3,OrganMaintenanceRespiration_0,OrganMaintenanceRespiration_1,OrganMaintenanceRespiration_2,OrganMaintenanceRespiration_3,MaxAssimilationRate
101_86,180,353.0701215,472.4177683,189.0338884,441.0790729,26.25470674,768.7977577,1014.521778,1,1455.600851,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_87,180,367.1351214,491.2371343,192.3598013,448.8395363,26.71663909,799.4237996,1050.732057,1,1499.571593,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_88,180,386.4288413,517.052675,196.7510971,459.0858932,27.32654129,841.4351953,1100.232613,1,1559.318507,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_89,180,408.8461057,547.0476062,194.6375695,454.1543288,27.03299579,890.2479991,1150.531281,1,1604.68561,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_90,180,395.3329598,528.9666364,196.8403054,459.2940459,27.33893133,860.8235998,1121.139902,1,1580.433947,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_91,180,390.3580848,522.3101135,193.9911256,452.6459597,26.94321191,849.9909847,1106.659324,1,1559.305284,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_92,180,398.6763726,533.4402169,186.6837616,435.5954437,25.92830024,868.1037635,1118.800351,1,1554.395795,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_93,180,381.3123104,510.2066125,208.5117378,486.5273881,28.95996361,830.2941294,1100.030661,1,1586.558049,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_94,180,392.871863,525.6736196,178.1670962,415.7232244,24.74543005,855.4646483,1096.712579,1,1512.435803,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_95,180,398.2456095,532.8638437,218.6085392,510.0865914,30.36229714,867.1657919,1149.717992,1,1659.804584,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_96,180,398.2581723,532.8806531,195.665223,456.5521869,27.17572544,867.193147,1126.804048,1,1583.356235,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_97,180,421.215753,563.5985428,188.9767986,440.9458633,26.2467776,917.1824707,1173.791094,1,1614.736958,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_98,180,450.8280877,603.2206808,193.8672827,452.3569929,26.92601151,981.6622868,1247.916051,1,1700.273044,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
101_99,180,445.3001217,595.8241065,197.9852483,461.9655793,27.49795117,969.6253354,1239.109476,1,1701.075056,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_100,180,410.4757984,549.228181,209.8144991,489.5671645,29.14090268,893.7965977,1169.518479,1,1659.085643,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_101,180,421.0584207,563.3880278,210.2291397,490.5346592,29.19849165,916.8398852,1194.675588,1,1685.210247,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_102,180,561.847905,751.7683237,152.277924,355.3151559,21.14971168,1223.40403,1465.894153,1,1821.209309,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_103,180,523.3349014,700.2368399,150.7333004,351.7110342,20.93518063,1139.54332,1374.305042,1,1726.016076,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_104,180,521.8015984,698.1852374,152.8880913,356.7388796,21.23445714,1136.204607,1372.874927,1,1729.613807,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_105,180,484.9684295,648.9014198,133.7826709,312.1595654,18.58092653,1056.001679,1267.65252,1,1579.812086,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_106,180,523.5434845,700.51593,144.4516612,337.0538761,20.06273074,1139.997503,1368.511076,1,1705.564952,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_107,180,551.1562969,737.4626509,192.4512619,449.0529444,26.72934195,1200.12343,1481.07021,1,1930.123154,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_108,180,582.2271508,779.0363286,147.8069541,344.8828929,20.52874364,1267.77912,1509.070434,1,1853.953326,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_109,180,553.8217259,741.0290699,137.5407547,320.9284276,19.10288261,1205.927307,1432.39155,1,1753.319978,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_110,180,528.8467614,707.6118639,162.000399,378.0009309,22.50005543,1151.545202,1398.459024,1,1776.459955,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_111,180,542.1895082,725.4648349,109.1920738,254.7815055,15.16556582,1180.598563,1376.846417,1,1631.627922,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
102_112,180,379.0832729,507.2240976,195.5360646,456.2508173,27.15778677,825.4404788,1081.843435,1,1538.094252,0.306,0.315,0.338,0.291,0.005,0.015,0.0075,0.005,30
