Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
103_102,180,526.9455429,705.06798,157.4015117,367.2701939,21.86132109,1147.405365,1389.415035,1,1756.685229
103_103,180,508.7007266,680.6559019,145.4536814,339.3919233,20.20190021,1107.67792,1334.81031,1,1674.202233
103_104,180,540.1968747,722.7986352,126.8444982,295.9704957,17.61729143,1176.259674,1389.840008,1,1685.810504
103_105,180,518.9382987,694.3540617,135.3494842,315.8154631,18.79853949,1129.969873,1348.641845,1,1664.457308
103_106,180,485.0687708,649.0356793,155.3490763,362.481178,21.57626062,1056.220169,1289.453526,1,1651.934704
103_107,180,515.4916772,689.742385,148.10833,345.5861032,20.5706014,1122.464976,1353.342392,1,1698.928495
103_108,180,551.4129309,737.8060344,187.0503201,436.4507468,25.97921114,1200.682241,1476.269285,1,1912.720032
103_109,180,571.7992343,765.0834826,142.644325,332.8367584,19.81171183,1245.072699,1479.527042,1,1812.3638
103_110,180,486.1943832,650.5417803,168.3228439,392.7533024,23.37817278,1058.67115,1305.059007,1,1697.81231
103_111,180,513.4402984,686.9975824,159.9913207,373.3130815,22.22101678,1117.998171,1360.429201,1,1733.742283
103_112,180,547.6049396,732.7108348,157.3712711,367.1996324,21.857121,1192.390474,1437.687045,1,1804.886678
103_113,180,396.7116888,530.8114147,220.3155784,514.0696829,30.59938591,863.8257338,1147.838682,1,1661.908365
103_114,180,386.7973387,517.545735,161.8191733,377.5780711,22.4748852,842.2375855,1066.162247,1,1443.740318
103_115,180,402.0780263,537.9917253,171.1909722,399.4456016,23.77652393,875.5107445,1111.260724,1,1510.706325
103_116,180,415.21232,555.5657803,177.6443547,414.5034944,24.67282707,904.1102067,1148.422455,1,1562.925949
103_117,180,395.287009,528.905153,199.4321181,465.3416088,27.69890531,860.7235436,1123.62428,1,1588.965889
